
*********************************************
* rtAttenPenn v.1.0
* Date/Time: 29-Jan-2018 16:45:51
* Seed: 214951.6456
* Subject Number: 100
* Subject Name: behav100
* Run Number: 2
* Use Button Box: 0
* rtData: 0
* debug: 0
*********************************************

run	block	bltyp	blcat	trial	onsdif	pulse	scat	fcat	simg	fimg	corresp	resp	acc	rt	file	load	catsep	attProp	smoothProp
2	2	stab	fa	2	-0.005	0	1	4	26	6	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	3	-0.005	0	1	4	3	35	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	4	-0.005	0	1	4	16	41	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	5	-0.005	0	1	4	25	32	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	6	-0.005	0	1	4	2	28	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	7	-0.004	0	1	4	30	21	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	8	-0.004	0	1	4	39	40	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	9	-0.004	0	1	4	21	15	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	10	-0.004	0	1	4	20	17	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	11	-0.004	0	2	4	12	12	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	12	-0.004	0	1	4	31	30	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	13	-0.004	0	1	4	4	18	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	14	-0.004	0	1	4	24	16	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	15	-0.004	0	1	4	5	42	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	16	-0.004	0	1	4	14	39	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	17	-0.004	0	1	3	10	24	NaN	NaN	2	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	18	-0.004	0	2	4	32	22	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	19	-0.004	0	1	4	13	45	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	20	-0.004	0	1	4	27	10	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	21	-0.003	0	1	4	37	19	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	22	-0.003	0	1	4	22	36	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	23	-0.003	0	1	4	36	4	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	24	-0.003	0	1	4	8	33	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	25	-0.003	0	1	4	17	34	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	26	-0.003	0	1	4	44	13	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	27	-0.003	0	1	4	41	31	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	28	-0.003	0	1	3	9	18	NaN	NaN	2	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	29	-0.003	0	1	4	29	26	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	30	-0.003	0	1	4	6	27	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	31	-0.003	0	2	4	39	5	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	32	-0.003	0	1	4	12	7	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	33	-0.003	0	1	3	42	38	NaN	NaN	2	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	34	-0.003	0	1	4	34	44	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
2	2	stab	fa	35	-0.003	0	1	4	45	43	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
