Run,Block,Trial,Fixation,Condition,corr_ans,corr_ans_Left,Correct_Answer_Side,top_image,left_image,right_image
A,2,53,0,Happy,1,9,L,stimuli/happy/M_nim/happy_nim_m_34.jpg,stimuli/happy/M_nim/happy_nim_m_34.jpg,stimuli/happy/M_nim/happy_nim_m_31.jpg
A,2,54,0,Happy,2,8,R,stimuli/happy/M_nim/happy_nim_m_38.jpg,stimuli/happy/M_nim/happy_nim_m_26.jpg,stimuli/happy/M_nim/happy_nim_m_38.jpg
A,2,55,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,2,56,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,2,57,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,2,58,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,2,59,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,2,60,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,3,61,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,3,62,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,3,63,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,3,64,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,3,65,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,3,66,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,3,67,0,Fearful,1,9,L,stimuli/fear/F_nim/fear_nim_f_11.jpg,stimuli/fear/F_nim/fear_nim_f_11.jpg,stimuli/fear/F_nim/fear_nim_f_02.jpg
A,3,68,0,Fearful,1,9,L,stimuli/fear/F_nim/fear_nim_f_10.jpg,stimuli/fear/F_nim/fear_nim_f_10.jpg,stimuli/fear/F_nim/fear_nim_f_12.jpg
A,3,69,0,Fearful,2,8,R,stimuli/fear/M_nim/fear_nim_m_22.jpg,stimuli/fear/M_nim/fear_nim_m_29.jpg,stimuli/fear/M_nim/fear_nim_m_22.jpg
A,3,70,0,Fearful,1,9,L,stimuli/fear/F_nim/fear_nim_f_14.jpg,stimuli/fear/F_nim/fear_nim_f_14.jpg,stimuli/fear/F_nim/fear_nim_f_16.jpg
A,3,71,0,Fearful,2,8,R,stimuli/fear/M_nim/fear_nim_m_32.jpg,stimuli/fear/M_nim/fear_nim_m_24.jpg,stimuli/fear/M_nim/fear_nim_m_32.jpg
A,3,72,0,Fearful,2,8,R,stimuli/fear/M_nim/fear_nim_m_35.jpg,stimuli/fear/M_nim/fear_nim_m_23.jpg,stimuli/fear/M_nim/fear_nim_m_35.jpg
A,3,73,0,Happy,1,9,L,stimuli/happy/M_nim/happy_nim_m_24.jpg,stimuli/happy/M_nim/happy_nim_m_24.jpg,stimuli/happy/M_nim/happy_nim_m_23.jpg
A,3,74,0,Happy,1,9,L,stimuli/happy/M_nim/happy_nim_m_28.jpg,stimuli/happy/M_nim/happy_nim_m_28.jpg,stimuli/happy/M_nim/happy_nim_m_21.jpg
A,3,75,0,Happy,2,8,R,stimuli/happy/F_nim/happy_nim_f_09.jpg,stimuli/happy/F_nim/happy_nim_f_01.jpg,stimuli/happy/F_nim/happy_nim_f_09.jpg
A,3,76,0,Happy,2,8,R,stimuli/happy/F_nim/happy_nim_f_13.jpg,stimuli/happy/F_nim/happy_nim_f_10.jpg,stimuli/happy/F_nim/happy_nim_f_13.jpg
