Run,Block,Trial,Fixation,Condition,corr_ans,corr_ans_Left,Correct_Answer_Side,top_image,left_image,right_image
B,3,171,0,Object,1,9,L,stimuli/objects/object_44.jpg,stimuli/objects/object_44.jpg,stimuli/objects/object_53.jpg
B,3,172,0,Object,2,8,R,stimuli/objects/object_72.jpg,stimuli/objects/object_63.jpg,stimuli/objects/object_72.jpg
B,3,173,0,Object,1,9,L,stimuli/objects/object_45.jpg,stimuli/objects/object_45.jpg,stimuli/objects/object_54.jpg
B,3,174,0,Object,2,8,R,stimuli/objects/object_70.jpg,stimuli/objects/object_61.jpg,stimuli/objects/object_70.jpg
B,3,175,0,Fearful,2,8,R,stimuli/fear/F_nim/fear_nim_f_15.jpg,stimuli/fear/F_nim/fear_nim_f_03.jpg,stimuli/fear/F_nim/fear_nim_f_15.jpg
B,3,176,0,Fearful,2,8,R,stimuli/fear/M_nim/fear_nim_m_34.jpg,stimuli/fear/M_nim/fear_nim_m_30.jpg,stimuli/fear/M_nim/fear_nim_m_34.jpg
B,3,177,0,Fearful,1,9,L,stimuli/fear/F_nim/fear_nim_f_13.jpg,stimuli/fear/F_nim/fear_nim_f_13.jpg,stimuli/fear/F_nim/fear_nim_f_06.jpg
B,3,178,0,Fearful,2,8,R,stimuli/fear/M_nim/fear_nim_m_33.jpg,stimuli/fear/M_nim/fear_nim_m_37.jpg,stimuli/fear/M_nim/fear_nim_m_33.jpg
B,3,179,0,Fearful,1,9,L,stimuli/fear/M_nim/fear_nim_m_38.jpg,stimuli/fear/M_nim/fear_nim_m_38.jpg,stimuli/fear/M_nim/fear_nim_m_27.jpg
B,3,180,0,Fearful,1,9,L,stimuli/fear/F_nim/fear_nim_f_17.jpg,stimuli/fear/F_nim/fear_nim_f_17.jpg,stimuli/fear/F_nim/fear_nim_f_08.jpg
