top_image,left_image,right_image,corr_ans
stimuli/neutral/M_rad/neutral_rad_m_05.jpg,stimuli/neutral/M_rad/neutral_rad_m_49.jpg,stimuli/neutral/M_rad/neutral_rad_m_05.jpg,2
stimuli/neutral/F_rad/neutral_rad_f_14.jpg,stimuli/neutral/F_rad/neutral_rad_f_14.jpg,stimuli/neutral/F_rad/neutral_rad_f_32.jpg,1
stimuli/neutral/F_rad/neutral_rad_f_31.jpg,stimuli/neutral/F_rad/neutral_rad_f_18.jpg,stimuli/neutral/F_rad/neutral_rad_f_31.jpg,2
stimuli/neutral/M_rad/neutral_rad_m_38.jpg,stimuli/neutral/M_rad/neutral_rad_m_38.jpg,stimuli/neutral/M_rad/neutral_rad_m_23.jpg,1
stimuli/neutral/F_rad/neutral_rad_f_26.jpg,stimuli/neutral/F_rad/neutral_rad_f_04.jpg,stimuli/neutral/F_rad/neutral_rad_f_26.jpg,2
stimuli/neutral/M_rad/neutral_rad_m_28.jpg,stimuli/neutral/M_rad/neutral_rad_m_28.jpg,stimuli/neutral/M_rad/neutral_rad_m_24.jpg,1
