top_image,left_image,right_image,corr_ans
stimuli/neutral/F_rad/neutral_rad_f_56.jpg,stimuli/neutral/F_rad/neutral_rad_f_61.jpg,stimuli/neutral/F_rad/neutral_rad_f_56.jpg,2
stimuli/neutral/M_rad/neutral_rad_m_05.jpg,stimuli/neutral/M_rad/neutral_rad_m_36.jpg,stimuli/neutral/M_rad/neutral_rad_m_05.jpg,2
stimuli/neutral/F_rad/neutral_rad_f_16.jpg,stimuli/neutral/F_rad/neutral_rad_f_16.jpg,stimuli/neutral/F_rad/neutral_rad_f_19.jpg,1
stimuli/neutral/M_rad/neutral_rad_m_25.jpg,stimuli/neutral/M_rad/neutral_rad_m_03.jpg,stimuli/neutral/M_rad/neutral_rad_m_25.jpg,2
stimuli/neutral/M_rad/neutral_rad_m_71.jpg,stimuli/neutral/M_rad/neutral_rad_m_71.jpg,stimuli/neutral/M_rad/neutral_rad_m_15.jpg,1
stimuli/neutral/F_rad/neutral_rad_f_18.jpg,stimuli/neutral/F_rad/neutral_rad_f_18.jpg,stimuli/neutral/F_rad/neutral_rad_f_27.jpg,1
