top_image,left_image,right_image,corr_ans
stimuli/objects/object_47.jpg,stimuli/objects/object_47.jpg,stimuli/objects/object_60.jpg,1
stimuli/objects/object_71.jpg,stimuli/objects/object_44.jpg,stimuli/objects/object_71.jpg,2
stimuli/objects/object_42.jpg,stimuli/objects/object_55.jpg,stimuli/objects/object_42.jpg,2
stimuli/objects/object_39.jpg,stimuli/objects/object_38.jpg,stimuli/objects/object_39.jpg,2
stimuli/objects/object_61.jpg,stimuli/objects/object_61.jpg,stimuli/objects/object_51.jpg,1
stimuli/objects/object_37.jpg,stimuli/objects/object_37.jpg,stimuli/objects/object_69.jpg,1
