top_image,left_image,right_image,corr_ans
stimuli/neutral/F_nim/neutral_nim_f_06.jpg,stimuli/neutral/F_nim/neutral_nim_f_06.jpg,stimuli/neutral/F_nim/neutral_nim_f_15.jpg,1
stimuli/neutral/F_nim/neutral_nim_f_18.jpg,stimuli/neutral/F_nim/neutral_nim_f_13.jpg,stimuli/neutral/F_nim/neutral_nim_f_18.jpg,2
stimuli/neutral/M_nim/neutral_nim_m_20.jpg,stimuli/neutral/M_nim/neutral_nim_m_28.jpg,stimuli/neutral/M_nim/neutral_nim_m_20.jpg,2
stimuli/neutral/F_nim/neutral_nim_f_10.jpg,stimuli/neutral/F_nim/neutral_nim_f_10.jpg,stimuli/neutral/F_nim/neutral_nim_f_08.jpg,1
stimuli/neutral/M_nim/neutral_nim_m_22.jpg,stimuli/neutral/M_nim/neutral_nim_m_36.jpg,stimuli/neutral/M_nim/neutral_nim_m_22.jpg,2
stimuli/neutral/M_nim/neutral_nim_m_32.jpg,stimuli/neutral/M_nim/neutral_nim_m_32.jpg,stimuli/neutral/M_nim/neutral_nim_m_33.jpg,1
