top_image,left_image,right_image,corr_ans
stimuli/fear/M_nim/fear_nim_m_29.jpg,stimuli/fear/M_nim/fear_nim_m_29.jpg,stimuli/fear/M_nim/fear_nim_m_37.jpg,1
stimuli/fear/F_nim/fear_nim_f_01.jpg,stimuli/fear/F_nim/fear_nim_f_03.jpg,stimuli/fear/F_nim/fear_nim_f_01.jpg,2
stimuli/fear/M_nim/fear_nim_m_26.jpg,stimuli/fear/M_nim/fear_nim_m_26.jpg,stimuli/fear/M_nim/fear_nim_m_27.jpg,1
stimuli/fear/F_nim/fear_nim_f_16.jpg,stimuli/fear/F_nim/fear_nim_f_16.jpg,stimuli/fear/F_nim/fear_nim_f_05.jpg,1
stimuli/fear/M_nim/fear_nim_m_23.jpg,stimuli/fear/M_nim/fear_nim_m_38.jpg,stimuli/fear/M_nim/fear_nim_m_23.jpg,2
stimuli/fear/F_nim/fear_nim_f_00.jpg,stimuli/fear/F_nim/fear_nim_f_00.jpg,stimuli/fear/F_nim/fear_nim_f_12.jpg,1
