top_image,left_image,right_image,corr_ans
stimuli/fear/M_rad/fear_rad_m_38.jpg,stimuli/fear/M_rad/fear_rad_m_38.jpg,stimuli/fear/M_rad/fear_rad_m_09.jpg,1
stimuli/fear/F_rad/fear_rad_f_02.jpg,stimuli/fear/F_rad/fear_rad_f_27.jpg,stimuli/fear/F_rad/fear_rad_f_02.jpg,2
stimuli/fear/F_rad/fear_rad_f_12.jpg,stimuli/fear/F_rad/fear_rad_f_12.jpg,stimuli/fear/F_rad/fear_rad_f_14.jpg,1
stimuli/fear/F_rad/fear_rad_f_01.jpg,stimuli/fear/F_rad/fear_rad_f_26.jpg,stimuli/fear/F_rad/fear_rad_f_01.jpg,2
stimuli/fear/M_rad/fear_rad_m_23.jpg,stimuli/fear/M_rad/fear_rad_m_20.jpg,stimuli/fear/M_rad/fear_rad_m_23.jpg,2
stimuli/fear/M_rad/fear_rad_m_28.jpg,stimuli/fear/M_rad/fear_rad_m_28.jpg,stimuli/fear/M_rad/fear_rad_m_05.jpg,1
