top_image,left_image,right_image,corr_ans
stimuli/objects/object_52.jpg,stimuli/objects/object_44.jpg,stimuli/objects/object_52.jpg,2
stimuli/objects/object_58.jpg,stimuli/objects/object_58.jpg,stimuli/objects/object_49.jpg,1
stimuli/objects/object_47.jpg,stimuli/objects/object_63.jpg,stimuli/objects/object_47.jpg,2
stimuli/objects/object_62.jpg,stimuli/objects/object_41.jpg,stimuli/objects/object_62.jpg,2
stimuli/objects/object_60.jpg,stimuli/objects/object_60.jpg,stimuli/objects/object_59.jpg,1
stimuli/objects/object_67.jpg,stimuli/objects/object_67.jpg,stimuli/objects/object_51.jpg,1
