top_image,left_image,right_image,corr_ans
stimuli/happy/M_rad/happy_rad_m_03.jpg,stimuli/happy/M_rad/happy_rad_m_23.jpg,stimuli/happy/M_rad/happy_rad_m_03.jpg,2
stimuli/happy/M_rad/happy_rad_m_09.jpg,stimuli/happy/M_rad/happy_rad_m_09.jpg,stimuli/happy/M_rad/happy_rad_m_20.jpg,1
stimuli/happy/M_rad/happy_rad_m_21.jpg,stimuli/happy/M_rad/happy_rad_m_71.jpg,stimuli/happy/M_rad/happy_rad_m_21.jpg,2
stimuli/happy/F_rad/happy_rad_f_61.jpg,stimuli/happy/F_rad/happy_rad_f_37.jpg,stimuli/happy/F_rad/happy_rad_f_61.jpg,2
stimuli/happy/F_rad/happy_rad_f_57.jpg,stimuli/happy/F_rad/happy_rad_f_57.jpg,stimuli/happy/F_rad/happy_rad_f_27.jpg,1
stimuli/happy/F_rad/happy_rad_f_16.jpg,stimuli/happy/F_rad/happy_rad_f_16.jpg,stimuli/happy/F_rad/happy_rad_f_19.jpg,1
