top_image,left_image,right_image,corr_ans
stimuli/happy/M_nim/happy_nim_m_29.jpg,stimuli/happy/M_nim/happy_nim_m_32.jpg,stimuli/happy/M_nim/happy_nim_m_29.jpg,2
stimuli/happy/M_nim/happy_nim_m_28.jpg,stimuli/happy/M_nim/happy_nim_m_28.jpg,stimuli/happy/M_nim/happy_nim_m_20.jpg,1
stimuli/happy/M_nim/happy_nim_m_26.jpg,stimuli/happy/M_nim/happy_nim_m_26.jpg,stimuli/happy/M_nim/happy_nim_m_23.jpg,1
stimuli/happy/F_nim/happy_nim_f_05.jpg,stimuli/happy/F_nim/happy_nim_f_05.jpg,stimuli/happy/F_nim/happy_nim_f_00.jpg,1
stimuli/happy/F_nim/happy_nim_f_11.jpg,stimuli/happy/F_nim/happy_nim_f_11.jpg,stimuli/happy/F_nim/happy_nim_f_13.jpg,1
stimuli/happy/F_nim/happy_nim_f_01.jpg,stimuli/happy/F_nim/happy_nim_f_01.jpg,stimuli/happy/F_nim/happy_nim_f_12.jpg,1
