top_image,left_image,right_image,corr_ans
stimuli/happy/M_nim/happy_nim_m_38.jpg,stimuli/happy/M_nim/happy_nim_m_34.jpg,stimuli/happy/M_nim/happy_nim_m_38.jpg,2
stimuli/happy/F_nim/happy_nim_f_00.jpg,stimuli/happy/F_nim/happy_nim_f_00.jpg,stimuli/happy/F_nim/happy_nim_f_10.jpg,1
stimuli/happy/M_nim/happy_nim_m_24.jpg,stimuli/happy/M_nim/happy_nim_m_26.jpg,stimuli/happy/M_nim/happy_nim_m_24.jpg,2
stimuli/happy/F_nim/happy_nim_f_18.jpg,stimuli/happy/F_nim/happy_nim_f_18.jpg,stimuli/happy/F_nim/happy_nim_f_17.jpg,1
stimuli/happy/M_nim/happy_nim_m_33.jpg,stimuli/happy/M_nim/happy_nim_m_21.jpg,stimuli/happy/M_nim/happy_nim_m_33.jpg,2
stimuli/happy/F_nim/happy_nim_f_08.jpg,stimuli/happy/F_nim/happy_nim_f_08.jpg,stimuli/happy/F_nim/happy_nim_f_07.jpg,1
