top_image,left_image,right_image,corr_ans
stimuli/happy/M_rad/happy_rad_m_05.jpg,stimuli/happy/M_rad/happy_rad_m_05.jpg,stimuli/happy/M_rad/happy_rad_m_20.jpg,1
stimuli/happy/M_rad/happy_rad_m_30.jpg,stimuli/happy/M_rad/happy_rad_m_07.jpg,stimuli/happy/M_rad/happy_rad_m_30.jpg,2
stimuli/happy/M_rad/happy_rad_m_38.jpg,stimuli/happy/M_rad/happy_rad_m_38.jpg,stimuli/happy/M_rad/happy_rad_m_28.jpg,1
stimuli/happy/F_rad/happy_rad_f_19.jpg,stimuli/happy/F_rad/happy_rad_f_31.jpg,stimuli/happy/F_rad/happy_rad_f_19.jpg,2
stimuli/happy/F_rad/happy_rad_f_08.jpg,stimuli/happy/F_rad/happy_rad_f_18.jpg,stimuli/happy/F_rad/happy_rad_f_08.jpg,2
stimuli/happy/F_rad/happy_rad_f_16.jpg,stimuli/happy/F_rad/happy_rad_f_16.jpg,stimuli/happy/F_rad/happy_rad_f_04.jpg,1
