top_image,left_image,right_image,corr_ans
stimuli/fear/F_rad/fear_rad_f_26.jpg,stimuli/fear/F_rad/fear_rad_f_56.jpg,stimuli/fear/F_rad/fear_rad_f_26.jpg,2
stimuli/fear/M_rad/fear_rad_m_09.jpg,stimuli/fear/M_rad/fear_rad_m_05.jpg,stimuli/fear/M_rad/fear_rad_m_09.jpg,2
stimuli/fear/F_rad/fear_rad_f_02.jpg,stimuli/fear/F_rad/fear_rad_f_02.jpg,stimuli/fear/F_rad/fear_rad_f_19.jpg,1
stimuli/fear/F_rad/fear_rad_f_27.jpg,stimuli/fear/F_rad/fear_rad_f_04.jpg,stimuli/fear/F_rad/fear_rad_f_27.jpg,2
stimuli/fear/M_rad/fear_rad_m_24.jpg,stimuli/fear/M_rad/fear_rad_m_24.jpg,stimuli/fear/M_rad/fear_rad_m_25.jpg,1
stimuli/fear/M_rad/fear_rad_m_21.jpg,stimuli/fear/M_rad/fear_rad_m_21.jpg,stimuli/fear/M_rad/fear_rad_m_71.jpg,1
