top_image,left_image,right_image,corr_ans
stimuli/happy/F_rad/happy_rad_f_14.jpg,stimuli/happy/F_rad/happy_rad_f_02.jpg,stimuli/happy/F_rad/happy_rad_f_14.jpg,2
stimuli/happy/M_rad/happy_rad_m_09.jpg,stimuli/happy/M_rad/happy_rad_m_28.jpg,stimuli/happy/M_rad/happy_rad_m_09.jpg,2
stimuli/happy/F_rad/happy_rad_f_37.jpg,stimuli/happy/F_rad/happy_rad_f_37.jpg,stimuli/happy/F_rad/happy_rad_f_58.jpg,1
stimuli/happy/M_rad/happy_rad_m_36.jpg,stimuli/happy/M_rad/happy_rad_m_36.jpg,stimuli/happy/M_rad/happy_rad_m_71.jpg,1
stimuli/happy/M_rad/happy_rad_m_15.jpg,stimuli/happy/M_rad/happy_rad_m_15.jpg,stimuli/happy/M_rad/happy_rad_m_25.jpg,1
stimuli/happy/F_rad/happy_rad_f_08.jpg,stimuli/happy/F_rad/happy_rad_f_32.jpg,stimuli/happy/F_rad/happy_rad_f_08.jpg,2
