top_image,left_image,right_image,corr_ans
stimuli/happy/M_rad/happy_rad_m_10.jpg,stimuli/happy/M_rad/happy_rad_m_28.jpg,stimuli/happy/M_rad/happy_rad_m_10.jpg,2
stimuli/happy/M_rad/happy_rad_m_24.jpg,stimuli/happy/M_rad/happy_rad_m_24.jpg,stimuli/happy/M_rad/happy_rad_m_07.jpg,1
stimuli/happy/M_rad/happy_rad_m_25.jpg,stimuli/happy/M_rad/happy_rad_m_49.jpg,stimuli/happy/M_rad/happy_rad_m_25.jpg,2
stimuli/happy/F_rad/happy_rad_f_56.jpg,stimuli/happy/F_rad/happy_rad_f_56.jpg,stimuli/happy/F_rad/happy_rad_f_02.jpg,1
stimuli/happy/F_rad/happy_rad_f_12.jpg,stimuli/happy/F_rad/happy_rad_f_31.jpg,stimuli/happy/F_rad/happy_rad_f_12.jpg,2
stimuli/happy/F_rad/happy_rad_f_14.jpg,stimuli/happy/F_rad/happy_rad_f_14.jpg,stimuli/happy/F_rad/happy_rad_f_04.jpg,1
