top_image,left_image,right_image,corr_ans
stimuli/fear/M_rad/fear_rad_m_36.jpg,stimuli/fear/M_rad/fear_rad_m_36.jpg,stimuli/fear/M_rad/fear_rad_m_28.jpg,1
stimuli/fear/F_rad/fear_rad_f_58.jpg,stimuli/fear/F_rad/fear_rad_f_18.jpg,stimuli/fear/F_rad/fear_rad_f_58.jpg,2
stimuli/fear/M_rad/fear_rad_m_03.jpg,stimuli/fear/M_rad/fear_rad_m_03.jpg,stimuli/fear/M_rad/fear_rad_m_07.jpg,1
stimuli/fear/M_rad/fear_rad_m_21.jpg,stimuli/fear/M_rad/fear_rad_m_21.jpg,stimuli/fear/M_rad/fear_rad_m_20.jpg,1
stimuli/fear/F_rad/fear_rad_f_14.jpg,stimuli/fear/F_rad/fear_rad_f_31.jpg,stimuli/fear/F_rad/fear_rad_f_14.jpg,2
stimuli/fear/F_rad/fear_rad_f_02.jpg,stimuli/fear/F_rad/fear_rad_f_02.jpg,stimuli/fear/F_rad/fear_rad_f_04.jpg,1
