top_image,left_image,right_image,corr_ans
stimuli/fear/M_nim/fear_nim_m_22.jpg,stimuli/fear/M_nim/fear_nim_m_22.jpg,stimuli/fear/M_nim/fear_nim_m_23.jpg,1
stimuli/fear/F_nim/fear_nim_f_06.jpg,stimuli/fear/F_nim/fear_nim_f_16.jpg,stimuli/fear/F_nim/fear_nim_f_06.jpg,2
stimuli/fear/F_nim/fear_nim_f_03.jpg,stimuli/fear/F_nim/fear_nim_f_17.jpg,stimuli/fear/F_nim/fear_nim_f_03.jpg,2
stimuli/fear/M_nim/fear_nim_m_37.jpg,stimuli/fear/M_nim/fear_nim_m_30.jpg,stimuli/fear/M_nim/fear_nim_m_37.jpg,2
stimuli/fear/F_nim/fear_nim_f_13.jpg,stimuli/fear/F_nim/fear_nim_f_13.jpg,stimuli/fear/F_nim/fear_nim_f_02.jpg,1
stimuli/fear/M_nim/fear_nim_m_33.jpg,stimuli/fear/M_nim/fear_nim_m_33.jpg,stimuli/fear/M_nim/fear_nim_m_31.jpg,1
