top_image,left_image,right_image,corr_ans
stimuli/objects/object_33.jpg,stimuli/objects/object_24.jpg,stimuli/objects/object_33.jpg,2
stimuli/objects/object_05.jpg,stimuli/objects/object_05.jpg,stimuli/objects/object_14.jpg,1
stimuli/objects/object_31.jpg,stimuli/objects/object_22.jpg,stimuli/objects/object_31.jpg,2
stimuli/objects/object_04.jpg,stimuli/objects/object_04.jpg,stimuli/objects/object_13.jpg,1
stimuli/objects/object_32.jpg,stimuli/objects/object_23.jpg,stimuli/objects/object_32.jpg,2
stimuli/objects/object_06.jpg,stimuli/objects/object_06.jpg,stimuli/objects/object_15.jpg,1
