top_image,left_image,right_image,corr_ans
stimuli/objects/object_22.jpg,stimuli/objects/object_22.jpg,stimuli/objects/object_31.jpg,1
stimuli/objects/object_28.jpg,stimuli/objects/object_07.jpg,stimuli/objects/object_28.jpg,2
stimuli/objects/object_08.jpg,stimuli/objects/object_33.jpg,stimuli/objects/object_08.jpg,2
stimuli/objects/object_19.jpg,stimuli/objects/object_19.jpg,stimuli/objects/object_16.jpg,1
stimuli/objects/object_09.jpg,stimuli/objects/object_11.jpg,stimuli/objects/object_09.jpg,2
stimuli/objects/object_24.jpg,stimuli/objects/object_24.jpg,stimuli/objects/object_13.jpg,1
