top_image,left_image,right_image,corr_ans
stimuli/objects/object_13.jpg,stimuli/objects/object_12.jpg,stimuli/objects/object_13.jpg,2
stimuli/objects/object_17.jpg,stimuli/objects/object_17.jpg,stimuli/objects/object_01.jpg,1
stimuli/objects/object_34.jpg,stimuli/objects/object_25.jpg,stimuli/objects/object_34.jpg,2
stimuli/objects/object_15.jpg,stimuli/objects/object_15.jpg,stimuli/objects/object_11.jpg,1
stimuli/objects/object_30.jpg,stimuli/objects/object_30.jpg,stimuli/objects/object_24.jpg,1
stimuli/objects/object_18.jpg,stimuli/objects/object_32.jpg,stimuli/objects/object_18.jpg,2
