top_image,left_image,right_image,corr_ans
stimuli/fear/M_nim/fear_nim_m_33.jpg,stimuli/fear/M_nim/fear_nim_m_32.jpg,stimuli/fear/M_nim/fear_nim_m_33.jpg,2
stimuli/fear/F_nim/fear_nim_f_08.jpg,stimuli/fear/F_nim/fear_nim_f_13.jpg,stimuli/fear/F_nim/fear_nim_f_08.jpg,2
stimuli/fear/M_nim/fear_nim_m_28.jpg,stimuli/fear/M_nim/fear_nim_m_30.jpg,stimuli/fear/M_nim/fear_nim_m_28.jpg,2
stimuli/fear/F_nim/fear_nim_f_17.jpg,stimuli/fear/F_nim/fear_nim_f_17.jpg,stimuli/fear/F_nim/fear_nim_f_11.jpg,1
stimuli/fear/M_nim/fear_nim_m_24.jpg,stimuli/fear/M_nim/fear_nim_m_24.jpg,stimuli/fear/M_nim/fear_nim_m_22.jpg,1
stimuli/fear/F_nim/fear_nim_f_02.jpg,stimuli/fear/F_nim/fear_nim_f_02.jpg,stimuli/fear/F_nim/fear_nim_f_07.jpg,1
