top_image,left_image,right_image,corr_ans
stimuli/happy/F_nim/happy_nim_f_03.jpg,stimuli/happy/F_nim/happy_nim_f_11.jpg,stimuli/happy/F_nim/happy_nim_f_03.jpg,2
stimuli/happy/F_nim/happy_nim_f_00.jpg,stimuli/happy/F_nim/happy_nim_f_02.jpg,stimuli/happy/F_nim/happy_nim_f_00.jpg,2
stimuli/happy/M_nim/happy_nim_m_22.jpg,stimuli/happy/M_nim/happy_nim_m_27.jpg,stimuli/happy/M_nim/happy_nim_m_22.jpg,2
stimuli/happy/M_nim/happy_nim_m_31.jpg,stimuli/happy/M_nim/happy_nim_m_33.jpg,stimuli/happy/M_nim/happy_nim_m_31.jpg,2
stimuli/happy/F_nim/happy_nim_f_13.jpg,stimuli/happy/F_nim/happy_nim_f_14.jpg,stimuli/happy/F_nim/happy_nim_f_13.jpg,2
stimuli/happy/M_nim/happy_nim_m_23.jpg,stimuli/happy/M_nim/happy_nim_m_23.jpg,stimuli/happy/M_nim/happy_nim_m_37.jpg,1
