top_image,left_image,right_image,corr_ans
stimuli/fear/F_nim/fear_nim_f_06.jpg,stimuli/fear/F_nim/fear_nim_f_12.jpg,stimuli/fear/F_nim/fear_nim_f_06.jpg,2
stimuli/fear/F_nim/fear_nim_f_11.jpg,stimuli/fear/F_nim/fear_nim_f_11.jpg,stimuli/fear/F_nim/fear_nim_f_18.jpg,1
stimuli/fear/F_nim/fear_nim_f_00.jpg,stimuli/fear/F_nim/fear_nim_f_00.jpg,stimuli/fear/F_nim/fear_nim_f_03.jpg,1
stimuli/fear/M_nim/fear_nim_m_38.jpg,stimuli/fear/M_nim/fear_nim_m_38.jpg,stimuli/fear/M_nim/fear_nim_m_33.jpg,1
stimuli/fear/M_nim/fear_nim_m_26.jpg,stimuli/fear/M_nim/fear_nim_m_34.jpg,stimuli/fear/M_nim/fear_nim_m_26.jpg,2
stimuli/fear/M_nim/fear_nim_m_28.jpg,stimuli/fear/M_nim/fear_nim_m_30.jpg,stimuli/fear/M_nim/fear_nim_m_28.jpg,2
