top_image,left_image,right_image,corr_ans
stimuli/objects/object_30.jpg,stimuli/objects/object_30.jpg,stimuli/objects/object_05.jpg,1
stimuli/objects/object_25.jpg,stimuli/objects/object_11.jpg,stimuli/objects/object_25.jpg,2
stimuli/objects/object_09.jpg,stimuli/objects/object_09.jpg,stimuli/objects/object_21.jpg,1
stimuli/objects/object_22.jpg,stimuli/objects/object_22.jpg,stimuli/objects/object_32.jpg,1
stimuli/objects/object_36.jpg,stimuli/objects/object_35.jpg,stimuli/objects/object_36.jpg,2
stimuli/objects/object_23.jpg,stimuli/objects/object_31.jpg,stimuli/objects/object_23.jpg,2
