top_image,left_image,right_image,corr_ans
stimuli/objects/object_57.jpg,stimuli/objects/object_64.jpg,stimuli/objects/object_57.jpg,2
stimuli/objects/object_53.jpg,stimuli/objects/object_53.jpg,stimuli/objects/object_65.jpg,1
stimuli/objects/object_45.jpg,stimuli/objects/object_45.jpg,stimuli/objects/object_52.jpg,1
stimuli/objects/object_58.jpg,stimuli/objects/object_68.jpg,stimuli/objects/object_58.jpg,2
stimuli/objects/object_56.jpg,stimuli/objects/object_56.jpg,stimuli/objects/object_66.jpg,1
stimuli/objects/object_46.jpg,stimuli/objects/object_54.jpg,stimuli/objects/object_46.jpg,2
