top_image,left_image,right_image,corr_ans
stimuli/happy/F_rad/happy_rad_f_19.jpg,stimuli/happy/F_rad/happy_rad_f_27.jpg,stimuli/happy/F_rad/happy_rad_f_19.jpg,2
stimuli/happy/M_rad/happy_rad_m_23.jpg,stimuli/happy/M_rad/happy_rad_m_23.jpg,stimuli/happy/M_rad/happy_rad_m_03.jpg,1
stimuli/happy/F_rad/happy_rad_f_01.jpg,stimuli/happy/F_rad/happy_rad_f_12.jpg,stimuli/happy/F_rad/happy_rad_f_01.jpg,2
stimuli/happy/M_rad/happy_rad_m_49.jpg,stimuli/happy/M_rad/happy_rad_m_49.jpg,stimuli/happy/M_rad/happy_rad_m_30.jpg,1
stimuli/happy/M_rad/happy_rad_m_20.jpg,stimuli/happy/M_rad/happy_rad_m_38.jpg,stimuli/happy/M_rad/happy_rad_m_20.jpg,2
stimuli/happy/F_rad/happy_rad_f_16.jpg,stimuli/happy/F_rad/happy_rad_f_16.jpg,stimuli/happy/F_rad/happy_rad_f_56.jpg,1
