top_image,left_image,right_image,corr_ans
stimuli/fear/F_rad/fear_rad_f_18.jpg,stimuli/fear/F_rad/fear_rad_f_18.jpg,stimuli/fear/F_rad/fear_rad_f_32.jpg,1
stimuli/fear/F_rad/fear_rad_f_61.jpg,stimuli/fear/F_rad/fear_rad_f_57.jpg,stimuli/fear/F_rad/fear_rad_f_61.jpg,2
stimuli/fear/M_rad/fear_rad_m_10.jpg,stimuli/fear/M_rad/fear_rad_m_15.jpg,stimuli/fear/M_rad/fear_rad_m_10.jpg,2
stimuli/fear/F_rad/fear_rad_f_14.jpg,stimuli/fear/F_rad/fear_rad_f_31.jpg,stimuli/fear/F_rad/fear_rad_f_14.jpg,2
stimuli/fear/M_rad/fear_rad_m_20.jpg,stimuli/fear/M_rad/fear_rad_m_20.jpg,stimuli/fear/M_rad/fear_rad_m_49.jpg,1
stimuli/fear/M_rad/fear_rad_m_33.jpg,stimuli/fear/M_rad/fear_rad_m_33.jpg,stimuli/fear/M_rad/fear_rad_m_38.jpg,1
