top_image,left_image,right_image,corr_ans
stimuli/fear/F_nim/fear_nim_f_14.jpg,stimuli/fear/F_nim/fear_nim_f_18.jpg,stimuli/fear/F_nim/fear_nim_f_14.jpg,2
stimuli/fear/F_nim/fear_nim_f_07.jpg,stimuli/fear/F_nim/fear_nim_f_07.jpg,stimuli/fear/F_nim/fear_nim_f_16.jpg,1
stimuli/fear/M_nim/fear_nim_m_36.jpg,stimuli/fear/M_nim/fear_nim_m_36.jpg,stimuli/fear/M_nim/fear_nim_m_33.jpg,1
stimuli/fear/M_nim/fear_nim_m_20.jpg,stimuli/fear/M_nim/fear_nim_m_20.jpg,stimuli/fear/M_nim/fear_nim_m_32.jpg,1
stimuli/fear/M_nim/fear_nim_m_38.jpg,stimuli/fear/M_nim/fear_nim_m_21.jpg,stimuli/fear/M_nim/fear_nim_m_38.jpg,2
stimuli/fear/F_nim/fear_nim_f_03.jpg,stimuli/fear/F_nim/fear_nim_f_01.jpg,stimuli/fear/F_nim/fear_nim_f_03.jpg,2
