top_image,left_image,right_image,corr_ans
stimuli/happy/F_nim/happy_nim_f_07.jpg,stimuli/happy/F_nim/happy_nim_f_16.jpg,stimuli/happy/F_nim/happy_nim_f_07.jpg,2
stimuli/happy/F_nim/happy_nim_f_13.jpg,stimuli/happy/F_nim/happy_nim_f_01.jpg,stimuli/happy/F_nim/happy_nim_f_13.jpg,2
stimuli/happy/M_nim/happy_nim_m_36.jpg,stimuli/happy/M_nim/happy_nim_m_36.jpg,stimuli/happy/M_nim/happy_nim_m_27.jpg,1
stimuli/happy/F_nim/happy_nim_f_05.jpg,stimuli/happy/F_nim/happy_nim_f_05.jpg,stimuli/happy/F_nim/happy_nim_f_11.jpg,1
stimuli/happy/M_nim/happy_nim_m_30.jpg,stimuli/happy/M_nim/happy_nim_m_30.jpg,stimuli/happy/M_nim/happy_nim_m_20.jpg,1
stimuli/happy/M_nim/happy_nim_m_29.jpg,stimuli/happy/M_nim/happy_nim_m_38.jpg,stimuli/happy/M_nim/happy_nim_m_29.jpg,2
