top_image,left_image,right_image,corr_ans
stimuli/objects/object_20.jpg,stimuli/objects/object_28.jpg,stimuli/objects/object_20.jpg,2
stimuli/objects/object_07.jpg,stimuli/objects/object_08.jpg,stimuli/objects/object_07.jpg,2
stimuli/objects/object_06.jpg,stimuli/objects/object_06.jpg,stimuli/objects/object_05.jpg,1
stimuli/objects/object_31.jpg,stimuli/objects/object_31.jpg,stimuli/objects/object_01.jpg,1
stimuli/objects/object_19.jpg,stimuli/objects/object_14.jpg,stimuli/objects/object_19.jpg,2
stimuli/objects/object_09.jpg,stimuli/objects/object_09.jpg,stimuli/objects/object_34.jpg,1
