top_image,left_image,right_image,corr_ans
stimuli/fear/M_nim/fear_nim_m_35.jpg,stimuli/fear/M_nim/fear_nim_m_35.jpg,stimuli/fear/M_nim/fear_nim_m_20.jpg,1
stimuli/fear/F_nim/fear_nim_f_12.jpg,stimuli/fear/F_nim/fear_nim_f_00.jpg,stimuli/fear/F_nim/fear_nim_f_12.jpg,2
stimuli/fear/F_nim/fear_nim_f_07.jpg,stimuli/fear/F_nim/fear_nim_f_06.jpg,stimuli/fear/F_nim/fear_nim_f_07.jpg,2
stimuli/fear/M_nim/fear_nim_m_34.jpg,stimuli/fear/M_nim/fear_nim_m_34.jpg,stimuli/fear/M_nim/fear_nim_m_29.jpg,1
stimuli/fear/M_nim/fear_nim_m_33.jpg,stimuli/fear/M_nim/fear_nim_m_36.jpg,stimuli/fear/M_nim/fear_nim_m_33.jpg,2
stimuli/fear/F_nim/fear_nim_f_18.jpg,stimuli/fear/F_nim/fear_nim_f_18.jpg,stimuli/fear/F_nim/fear_nim_f_10.jpg,1
