
*********************************************
* rtAttenPenn v.1.0
* Date/Time: 29-Jan-2018 16:33:20
* Seed: 210370.962
* Subject Number: 100
* Subject Name: behav100
* Run Number: 1
* Use Button Box: 0
* rtData: 0
* debug: 0
*********************************************

run	block	bltyp	blcat	trial	onsdif	pulse	scat	fcat	simg	fimg	corresp	resp	acc	rt	file	load	catsep	attProp	smoothProp
1	1	stab	fa	1	-0.004	0	3	4	31	6	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	2	-0.004	0	3	4	4	1	30	30	1	0.788	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	3	-0.004	0	3	4	23	18	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	4	-0.004	0	3	4	44	39	30	30	1	0.616	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	5	-0.004	0	3	4	43	20	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	6	-0.004	0	3	4	18	37	30	30	1	0.685	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	7	-0.004	0	3	4	7	5	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	8	-0.003	0	3	4	6	21	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	9	-0.003	0	3	4	35	43	30	30	1	0.609	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	10	-0.003	0	3	4	5	31	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	11	-0.003	0	4	4	34	24	30	30	1	0.640	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	12	-0.003	0	3	4	29	26	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	13	-0.003	0	3	4	1	42	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	14	-0.003	0	3	3	36	39	NaN	NaN	2	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	15	-0.003	0	3	4	24	13	30	30	1	0.731	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	16	-0.003	0	3	4	11	16	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	17	-0.003	0	3	4	17	32	30	30	1	0.684	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	18	-0.003	0	3	3	27	14	NaN	NaN	2	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	19	-0.003	0	4	4	10	11	30	30	1	0.608	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	20	-0.003	0	3	4	3	44	30	30	1	0.787	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	21	-0.003	0	3	4	22	33	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	22	-0.003	0	3	4	16	9	30	30	1	0.673	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	23	-0.002	0	3	4	33	8	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	24	-0.002	0	3	4	26	40	30	30	1	0.041	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	25	-0.002	0	3	4	9	19	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	26	-0.002	0	3	4	8	7	30	30	1	0.013	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	27	-0.002	0	3	4	21	38	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	28	-0.002	0	3	4	45	12	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	29	-0.002	0	3	3	28	15	NaN	NaN	2	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	30	-0.002	0	3	4	42	30	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	31	-0.002	0	4	4	29	36	30	30	1	0.669	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	32	-0.002	0	3	4	34	23	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	33	-0.002	0	3	4	41	17	30	30	1	0.584	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	34	-0.002	0	3	4	37	35	30	30	1	0.739	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	35	-0.002	0	3	3	32	2	NaN	NaN	2	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	36	-0.002	0	3	4	12	2	30	30	1	0.694	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	37	-0.002	0	4	4	25	41	30	30	1	0.620	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	38	-0.001	0	3	4	25	27	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	39	-0.001	0	3	4	19	3	30	30	1	0.590	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	40	-0.001	0	3	4	20	22	30	30	1	0.683	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	41	-0.001	0	3	4	40	45	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	42	-0.001	0	4	4	28	14	30	30	1	0.766	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	43	-0.001	0	3	4	13	15	30	30	1	0.848	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	44	-0.001	0	3	3	38	10	NaN	NaN	2	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	45	-0.001	0	3	4	30	4	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	46	-0.001	0	3	4	10	18	30	30	1	0.620	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	47	-0.001	0	3	4	28	35	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	48	-0.001	0	3	4	23	11	30	30	1	0.012	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	49	-0.001	0	3	4	40	26	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	1	stab	fa	50	-0.001	0	3	4	30	42	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	1	-0.000	0	1	4	45	31	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	2	-0.000	0	1	4	21	41	30	30	1	0.370	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	3	-0.000	0	1	4	26	6	30	30	1	0.501	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	4	0.000	0	1	4	42	24	30	30	1	0.606	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	5	0.000	0	1	4	13	22	30	30	1	0.545	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	6	0.000	0	1	4	20	40	30	30	1	0.597	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	7	0.000	0	1	4	19	8	30	30	1	0.612	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	8	0.000	0	1	4	25	1	30	30	1	0.606	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	9	0.000	0	1	4	16	7	30	30	1	0.677	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	10	0.000	0	1	4	18	29	30	30	1	0.621	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	11	0.001	0	1	4	4	4	30	30	1	0.756	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	12	0.001	0	1	4	32	12	30	30	1	0.709	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	13	0.001	0	2	3	4	16	NaN	NaN	2	NaN	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	14	0.001	0	1	4	9	13	30	30	1	0.805	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	15	0.001	0	1	4	5	36	30	30	1	0.567	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	16	0.001	0	1	4	27	44	30	30	1	0.552	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	17	0.001	0	1	4	1	10	30	30	1	0.591	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	18	0.001	0	2	4	23	27	NaN	30	0	0.586	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	19	0.001	0	1	4	35	43	30	30	1	0.609	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	20	0.001	0	1	3	15	9	30	30	1	0.734	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	21	0.001	0	1	4	14	15	30	30	1	0.786	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	22	0.001	0	1	4	37	39	30	30	1	0.588	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	23	0.001	0	1	4	33	25	30	30	1	0.521	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	24	0.001	0	1	4	36	2	30	30	1	0.603	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	25	0.001	0	1	3	24	44	30	30	1	0.547	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	26	0.002	0	1	4	7	19	30	30	1	0.593	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	27	0.002	0	1	4	43	3	30	30	1	0.592	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	28	0.002	0	2	4	40	30	NaN	30	0	0.667	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	29	0.002	0	1	4	39	14	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	30	0.002	0	1	4	28	17	30	30	1	0.210	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	31	0.002	0	1	4	38	9	30	30	1	0.697	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	32	0.002	0	1	3	29	13	30	30	1	0.591	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	33	0.002	0	1	4	11	45	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	34	0.002	0	1	4	8	33	30	30	1	0.013	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	35	0.002	0	2	4	38	37	NaN	NaN	2	NaN	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	36	0.002	0	1	4	40	28	30	30	1	0.721	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	37	0.002	0	1	4	22	38	30	30	1	0.621	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	38	0.002	0	1	4	30	23	30	30	1	0.610	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	39	0.002	0	2	4	32	16	NaN	NaN	2	NaN	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	40	0.003	0	1	4	3	21	30	30	1	0.712	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	41	0.003	0	1	3	6	45	30	30	1	0.841	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	42	0.003	0	1	4	12	5	30	30	1	0.754	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	43	0.003	0	1	4	17	20	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	44	0.003	0	1	4	23	32	30	30	1	0.704	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	45	0.003	0	1	4	34	34	30	NaN	0	NaN	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	46	0.003	0	1	4	31	34	30	30	1	0.629	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	47	0.003	0	1	4	10	45	30	30	1	0.622	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	48	0.003	0	1	4	44	41	30	30	1	0.611	NaN	NaN	NaN	0.500	NaN
1	2	stab	sc	49	0.003	0	1	4	41	4	30	30	1	0.750	NaN	NaN	NaN	0.500	NaN
